Movie ID,Title,Director,Year,Available Copies,description
101,Inception,Christopher Nolan,2010,3,A thief who enters people's dreams to steal secrets must pull off his toughest mission yet: planting an idea in someone's subconscious.
102,The Matrix,Wachowskis,1999,6,"A computer hacker discovers reality is a simulated world, and joins a rebellion to free humanity from its machine overlords."
103,Interstellar,Christopher Nolan,2014,2,A group of astronauts embarks on a journey through a wormhole to find a new home for humanity as Earth faces extinction.
104,Parasite,Bong Joon-ho,2019,4,"A poor family schemes to infiltrate a wealthy household, leading to unexpected and dark consequences."
105,The Godfather,Francis Ford Coppola,1972,3,"The aging patriarch of a powerful crime family hands control to his reluctant son, sparking a violent struggle for power."
106,Pulp Fiction,Quentin Tarantino,1994,1,"The lives of two hitmen, a boxer, a gangster, and his wife intertwine through a series of violent and darkly humorous events."
107,The Dark Knight,Christopher Nolan,2008,2,"Batman faces his greatest challenge yet as he battles the Joker, a criminal mastermind who seeks to create chaos in Gotham City."
108,Fight Club,David Fincher,1999,4,"An insomniac office worker forms an underground fight club with a charismatic soap salesman, leading to an anarchic movement that challenges consumerism."
109,Forrest Gump,Robert Zemeckis,1994,3,"Forrest Gump, a slow-witted but kind-hearted man, unwittingly influences several historical events while navigating life and love in America."
110,Schindler's List,Steven Spielberg,1993,2,"Oskar Schindler, a German businessman, saves the lives of over a thousand Jewish refugees during the Holocaust by employing them in his factories"
